url,title
https://www.nhs.uk/conditions/,NHS Conditions A to Z
https://www.nhs.uk/symptoms/,NHS Symptoms A to Z
https://www.nhs.uk/symptoms/sore-throat/,Sore throat (NHS)
https://www.nhs.uk/conditions/fever-in-adults/,Fever in adults (NHS)
https://www.nhs.uk/conditions/fever-in-children/,Fever in children (NHS)
https://www.nhs.uk/conditions/chest-pain/,Chest pain (NHS)
https://www.nhs.uk/conditions/shortness-of-breath/,Shortness of breath (NHS)
https://www.nhs.uk/conditions/wheezing/,Wheezing (NHS)
https://www.nhs.uk/conditions/asthma/,Asthma (NHS)
https://www.nhs.uk/conditions/flu/,Flu (NHS)
https://www.nhs.uk/conditions/common-cold/,Common cold (NHS)
https://www.nhs.uk/conditions/covid-19/,COVID-19 (NHS)
https://www.nhs.uk/conditions/strep-throat/,Strep throat (NHS)
https://www.nhs.uk/conditions/tonsillitis/,Tonsillitis (NHS)
https://www.nhs.uk/conditions/laryngitis/,Laryngitis (NHS)
https://www.nhs.uk/conditions/diarrhoea-and-vomiting/,Diarrhoea & vomiting (NHS)
https://www.nhs.uk/conditions/dehydration/,Dehydration (NHS)
https://www.nhs.uk/conditions/urinary-tract-infections-utis/,UTI (NHS)
https://www.nhs.uk/conditions/heart-attack/,Heart attack (NHS)
https://www.nhs.uk/conditions/stroke/,Stroke (NHS)
https://www.nhs.uk/conditions/sepsis/,Sepsis (NHS)
https://www.nhs.uk/conditions/meningitis/,Meningitis (NHS)
https://www.nhs.uk/conditions/allergic-reaction-anaphylaxis/,Allergic reaction & anaphylaxis (NHS)
https://www.nhs.uk/conditions/ear-infections/,Ear infections (NHS)
https://www.nhs.uk/conditions/sinusitis/,Sinusitis (NHS)
https://www.nhs.uk/conditions/pneumonia/,Pneumonia (NHS)
https://www.nhs.uk/conditions/bronchitis/,Bronchitis (NHS)
https://www.nhs.uk/conditions/glandular-fever/,Glandular fever (NHS)
https://www.cdc.gov/flu/signs-symptoms/index.html,CDC Flu: Emergency warning signs
https://www.cdc.gov/covid/signs-symptoms/index.html,CDC COVID-19: When to seek emergency help
https://www.cdc.gov/heartdisease/heart_attack.htm,CDC Heart attack overview
https://www.cdc.gov/stroke/signs_symptoms.htm,CDC Stroke: FAST signs
https://www.cdc.gov/sepsis/what-is-sepsis.html,CDC What is Sepsis
https://www.cdc.gov/meningitis/index.html,CDC Meningitis overview
https://www.cdc.gov/urinary-tract-infection/about/index.html,CDC UTI overview
https://www.cdc.gov/pneumonia/index.html,CDC Pneumonia overview
